login_hour,files_accessed,usb_usage,login_location,emails_sent,is_threat
8,190,1,Unknown,98,1
16,28,0,India,5,0
20,9,1,Germany,9,0
12,74,0,India,7,0
13,10,0,India,1,0
9,68,1,India,17,0
15,71,0,India,8,0
15,100,0,India,5,0
20,47,0,India,10,0
11,16,0,India,19,0
20,51,0,Germany,7,0
10,86,0,Germany,3,0
9,40,0,India,16,0
20,46,0,India,2,0
10,110,0,India,4,0
11,51,0,India,4,0
0,182,1,USA,47,1
17,35,0,Germany,16,0
10,112,1,India,11,0
14,10,0,Germany,12,0
17,100,0,Germany,10,0
2,389,1,India,64,1
13,84,1,India,8,0
13,341,1,Russia,86,1
11,116,0,Germany,10,0
16,62,0,India,18,0
12,29,0,Germany,11,0
14,96,0,India,3,0
16,95,0,India,6,0
16,93,0,India,18,0
11,5,0,India,7,0
13,107,0,India,15,0
11,113,0,India,7,0
7,269,1,India,22,1
10,72,0,India,4,0
12,98,0,Germany,6,0
13,107,0,India,11,0
12,49,0,Germany,13,0
6,442,0,Unknown,22,1
15,13,0,India,4,0
14,6,0,India,2,0
11,119,1,Germany,12,0
16,109,0,Germany,19,0
13,59,0,India,2,0
17,58,0,Germany,1,0
14,29,1,Germany,18,0
13,64,0,India,4,0
10,42,0,India,14,0
14,80,0,Germany,6,0
17,16,0,India,16,0
20,80,0,Germany,7,0
9,103,0,India,17,0
9,106,0,India,1,0
9,30,0,Germany,17,0
15,99,0,Germany,16,0
16,79,0,India,1,0
16,40,0,India,4,0
20,115,0,India,3,0
15,109,0,India,11,0
15,79,0,India,13,0
9,404,1,Russia,91,1
12,8,0,Germany,19,0
19,470,1,China,60,1
13,88,1,India,8,0
10,16,0,India,11,0
11,73,1,Germany,12,0
15,100,0,India,11,0
14,339,1,USA,36,1
11,87,0,India,15,0
1,251,1,China,89,1
23,129,1,Unknown,53,1
12,117,0,India,19,0
12,104,0,Germany,2,0
11,62,0,India,19,0
16,44,0,India,8,0
9,32,0,India,4,0
20,49,0,India,6,0
16,65,0,Germany,16,0
9,16,1,India,13,0
9,27,0,Germany,15,0
17,56,0,Germany,16,0
16,117,1,Unknown,80,1
15,319,1,India,74,1
11,56,0,India,15,0
17,40,0,India,12,0
17,64,0,India,1,0
13,188,1,Russia,80,1
19,373,1,Unknown,92,1
14,43,0,India,19,0
9,65,0,India,8,0
10,27,0,Germany,14,0
9,77,0,India,16,0
23,274,1,USA,83,1
10,117,0,Germany,3,0
11,7,0,India,13,0
20,108,0,Germany,15,0
14,59,0,India,6,0
17,118,1,Germany,18,0
17,49,0,India,19,0
20,47,0,India,15,0
16,43,0,Germany,5,0
13,108,1,Russia,82,1
14,41,0,India,4,0
10,77,0,India,9,0
15,184,1,Unknown,94,1
14,24,1,India,13,0
12,118,0,Germany,13,0
20,12,0,India,5,0
10,77,0,India,14,0
10,19,0,Germany,9,0
16,87,0,Germany,19,0
14,115,0,Germany,17,0
16,101,0,India,10,0
20,55,0,India,18,0
12,17,0,India,5,0
15,46,0,India,7,0
14,10,0,India,8,0
13,15,0,India,10,0
9,44,0,Germany,13,0
15,35,0,India,7,0
6,411,1,Russia,92,1
10,443,1,Unknown,95,1
13,34,0,India,5,0
9,67,0,India,13,0
15,51,0,India,3,0
20,73,0,India,9,0
2,174,1,Unknown,61,1
17,55,0,Germany,3,0
2,490,1,Unknown,41,1
11,90,0,India,3,0
10,98,1,India,18,0
12,108,0,India,6,0
2,348,1,China,77,1
0,325,1,India,65,1
9,11,0,India,5,0
3,197,1,Unknown,94,1
10,96,0,India,13,0
14,92,0,India,2,0
11,59,0,Germany,13,0
3,242,1,Russia,70,1
16,104,0,India,2,0
5,79,0,Unknown,51,1
17,104,0,India,6,0
10,73,1,Unknown,74,1
14,6,1,India,18,0
15,451,1,Russia,62,1
6,380,1,USA,81,1
10,98,1,Russia,52,1
14,36,0,India,1,0
10,81,1,India,7,0
12,98,0,India,1,0
2,301,1,China,65,1
10,69,0,India,11,0
20,85,1,India,11,0
11,102,0,Germany,8,0
17,43,0,India,9,0
10,21,0,India,8,0
12,85,0,India,16,0
9,45,0,Germany,2,0
20,103,0,India,17,0
15,72,1,Germany,7,0
6,342,1,China,94,1
20,51,0,Germany,7,0
12,14,0,India,5,0
10,102,0,Germany,11,0
10,61,1,India,68,1
10,93,0,India,19,0
20,75,0,India,17,0
13,84,0,India,13,0
20,51,0,India,18,0
11,113,0,India,9,0
6,459,0,Russia,42,1
9,20,0,Germany,15,0
12,54,0,India,15,0
18,352,0,China,91,1
7,133,1,India,45,1
17,84,0,India,2,0
12,112,0,India,2,0
13,64,0,India,19,0
19,140,1,India,53,1
17,32,0,India,5,0
14,16,0,India,13,0
17,246,0,USA,36,1
16,86,0,Germany,6,0
17,57,0,India,10,0
15,53,0,India,4,0
17,104,0,India,19,0
5,284,1,India,71,1
14,118,0,India,18,0
16,82,0,India,8,0
16,113,0,Germany,5,0
20,76,0,India,7,0
13,52,0,India,2,0
9,66,0,India,10,0
10,302,1,USA,48,1
11,239,1,India,82,1
17,48,0,India,16,0
0,224,1,Unknown,99,1
10,100,0,India,5,0
11,92,0,India,4,0
13,41,0,India,14,0
13,93,1,India,6,0
9,13,1,India,16,0
20,8,1,India,5,0
15,73,0,Germany,14,0
14,48,0,India,19,0
16,77,0,India,10,0
12,71,0,India,13,0
13,88,0,India,1,0
11,72,0,Germany,16,0
20,55,0,India,15,0
10,78,0,India,16,0
9,56,0,Germany,5,0
10,35,0,Germany,1,0
4,336,1,China,81,1
15,100,0,India,17,0
16,33,0,India,3,0
10,70,0,India,12,0
13,33,0,Germany,13,0
9,231,0,Unknown,96,1
10,111,1,India,1,0
9,53,1,India,15,0
12,86,0,India,2,0
11,115,0,India,16,0
20,77,0,India,2,0
11,5,0,India,15,0
15,48,0,India,3,0
10,34,0,Germany,1,0
11,25,1,Germany,17,0
12,14,0,Germany,17,0
11,55,0,India,17,0
14,56,0,Germany,9,0
11,73,0,India,13,0
14,20,0,India,8,0
13,39,0,India,14,0
15,32,0,India,13,0
20,93,0,Germany,12,0
21,64,0,China,46,1
12,451,1,USA,85,1
20,55,0,India,6,0
22,211,1,India,79,1
17,43,0,India,7,0
12,107,0,Germany,17,0
14,102,1,Germany,6,0
11,39,0,India,1,0
20,109,1,India,10,0
12,20,0,Germany,13,0
14,30,0,India,17,0
17,104,1,India,17,0
15,33,0,India,17,0
9,53,0,Germany,7,0
17,36,0,India,17,0
11,67,0,India,9,0
0,190,1,Russia,77,1
15,87,0,India,3,0
16,103,0,India,14,0
13,87,1,USA,56,1
20,30,0,India,2,0
16,45,1,India,1,0
14,45,0,India,16,0
16,66,0,India,13,0
14,49,0,India,2,0
12,60,0,India,6,0
9,28,0,India,13,0
12,19,0,India,6,0
16,79,1,Germany,6,0
11,11,0,India,10,0
9,10,0,Germany,19,0
15,327,1,India,81,1
16,266,1,USA,55,1
20,48,1,India,4,0
15,96,0,Germany,16,0
11,113,0,India,15,0
20,27,0,Germany,17,0
20,109,1,India,15,0
6,226,1,China,29,1
16,105,0,India,9,0
14,45,0,Germany,12,0
11,33,1,India,17,0
13,92,0,Germany,2,0
10,98,0,India,12,0
14,80,0,India,12,0
10,67,0,India,15,0
10,69,1,China,21,1
14,42,0,India,5,0
14,89,0,India,16,0
15,19,0,India,15,0
11,73,0,Germany,13,0
11,32,0,India,17,0
14,68,0,India,6,0
17,102,0,Germany,17,0
12,100,0,India,5,0
15,27,0,India,3,0
20,99,0,India,11,0
11,41,0,India,1,0
12,28,0,India,11,0
9,66,0,India,3,0
20,71,0,Germany,7,0
14,26,0,Germany,1,0
16,13,0,India,5,0
20,70,0,India,8,0
3,125,1,Unknown,67,1
11,53,0,India,13,0
17,107,0,India,17,0
8,183,0,India,26,1
20,52,0,Germany,6,0
20,12,0,India,2,0
16,92,0,Germany,6,0
9,18,0,Germany,16,0
9,76,0,India,18,0
5,155,0,Russia,77,1
13,27,0,India,13,0
14,41,0,India,10,0
9,35,0,Germany,19,0
11,12,0,Germany,7,0
16,97,0,India,3,0
4,259,1,Russia,50,1
20,44,0,India,4,0
14,39,0,India,8,0
13,43,0,India,17,0
16,62,0,India,2,0
14,114,0,India,10,0
9,49,0,India,14,0
14,117,0,Germany,15,0
10,349,1,India,52,1
13,98,0,Germany,10,0
20,65,0,India,1,0
16,68,1,India,12,0
16,65,0,India,11,0
9,96,0,India,3,0
15,15,0,Germany,5,0
13,119,1,India,11,0
9,15,0,India,17,0
16,97,0,Germany,10,0
14,78,0,India,7,0
13,104,0,India,12,0
10,35,0,India,19,0
13,33,0,India,8,0
12,59,0,Germany,4,0
13,11,0,Germany,8,0
13,122,1,USA,24,1
16,75,0,India,1,0
10,15,0,India,17,0
9,18,0,India,12,0
14,24,0,India,12,0
14,66,0,Germany,13,0
14,29,0,Germany,4,0
14,44,0,Germany,1,0
9,59,0,India,17,0
6,415,1,USA,68,1
11,67,0,India,11,0
11,57,0,Germany,11,0
11,59,1,Germany,10,0
15,98,0,India,18,0
17,57,0,Germany,9,0
6,151,1,Russia,85,1
20,43,1,Germany,16,0
8,172,1,Unknown,78,1
16,82,0,India,2,0
13,113,0,India,8,0
20,6,1,India,4,0
11,26,0,India,16,0
12,79,0,India,1,0
13,31,1,India,12,0
15,52,0,India,3,0
17,60,0,Germany,3,0
14,86,1,Germany,12,0
13,34,0,India,3,0
20,36,0,India,4,0
13,76,0,Germany,5,0
10,10,0,India,11,0
20,112,0,India,4,0
16,400,1,Unknown,82,1
17,199,1,Russia,32,1
10,39,0,India,19,0
10,27,0,India,7,0
16,37,0,Germany,12,0
10,6,0,India,17,0
15,72,0,India,3,0
20,113,0,India,11,0
11,10,0,India,7,0
11,214,0,China,39,1
15,8,0,India,19,0
9,50,0,Germany,11,0
13,114,0,Germany,7,0
17,27,0,India,1,0
16,37,0,India,15,0
13,90,1,India,2,0
12,85,0,India,7,0
15,99,0,Germany,15,0
11,116,0,India,7,0
4,78,1,Unknown,29,1
16,114,0,Germany,11,0
9,71,0,India,3,0
20,477,1,USA,73,1
13,22,0,India,10,0
9,37,0,India,1,0
10,53,0,India,17,0
15,84,0,India,11,0
16,274,0,India,89,1
13,12,0,India,7,0
9,10,0,Germany,11,0
17,22,0,India,4,0
15,110,0,India,4,0
10,107,0,Germany,5,0
10,28,0,India,19,0
20,26,0,India,17,0
10,40,0,India,3,0
9,42,0,India,13,0
14,104,1,Germany,8,0
12,44,0,India,15,0
15,61,0,India,14,0
14,22,0,Germany,18,0
1,364,1,USA,85,1
16,83,0,India,5,0
16,65,0,India,17,0
12,83,0,India,6,0
10,89,0,Germany,6,0
12,89,0,India,1,0
17,21,0,India,4,0
23,181,1,China,96,1
10,74,0,India,5,0
11,23,0,India,11,0
16,65,0,Germany,11,0
17,15,1,Germany,12,0
10,7,0,India,17,0
11,113,0,India,3,0
15,82,1,Unknown,92,1
12,20,0,India,2,0
20,18,0,India,7,0
10,5,0,Germany,5,0
13,110,0,India,7,0
13,13,0,Germany,6,0
10,88,0,India,10,0
17,59,0,Germany,2,0
14,58,0,India,18,0
11,493,1,China,36,1
13,46,0,India,2,0
17,102,0,India,19,0
23,351,0,USA,67,1
11,30,0,Germany,16,0
20,5,0,India,17,0
14,97,0,India,5,0
20,141,1,India,39,1
15,107,0,India,10,0
16,49,0,Germany,12,0
9,46,0,Germany,1,0
12,72,0,India,2,0
12,96,0,India,15,0
20,105,0,India,4,0
20,13,0,Germany,10,0
11,23,1,Germany,13,0
10,10,0,India,13,0
9,102,0,India,1,0
15,108,0,India,2,0
10,89,0,India,16,0
16,28,0,India,19,0
13,91,0,India,9,0
17,17,0,Germany,10,0
17,11,0,India,3,0
14,24,0,Germany,17,0
10,65,0,India,12,0
14,21,0,India,15,0
11,110,1,India,13,0
13,99,0,India,9,0
11,58,0,Germany,16,0
17,69,1,India,99,1
10,102,0,India,18,0
12,106,0,India,12,0
12,117,0,India,14,0
14,18,0,India,10,0
10,162,1,Russia,76,1
12,42,0,India,1,0
10,54,0,India,2,0
5,352,1,Russia,90,1
13,102,0,India,12,0
10,64,0,India,19,0
15,18,0,Germany,18,0
9,28,0,Germany,17,0
15,25,0,India,4,0
17,6,0,Germany,2,0
17,75,1,India,19,0
14,75,0,India,11,0
20,86,1,Germany,16,0
13,41,0,India,17,0
12,12,0,India,1,0
10,96,0,India,15,0
9,82,0,India,9,0
17,53,0,India,1,0
13,85,1,USA,57,1
12,21,0,Germany,4,0
3,379,1,USA,86,1
22,181,1,India,29,1
13,425,1,India,48,1
20,106,0,Germany,19,0
9,70,1,India,9,0
10,8,1,India,5,0
14,52,0,India,7,0
11,62,0,Germany,2,0
14,94,0,India,18,0
17,52,0,India,18,0
9,87,0,India,15,0
13,19,0,India,12,0
19,185,1,USA,63,1
5,291,1,USA,85,1
14,57,0,India,3,0
0,258,1,Russia,91,1
10,53,1,India,11,0
9,117,0,Germany,10,0
10,41,0,India,4,0
11,7,0,India,11,0
12,108,0,India,11,0
10,59,0,India,11,0
15,87,0,India,19,0
17,38,0,India,1,0
10,110,0,India,16,0
9,80,0,India,19,0
15,38,0,India,4,0
20,91,0,India,2,0
10,369,0,USA,69,1
16,87,0,India,17,0
9,22,1,India,18,0
10,112,0,India,13,0
15,94,0,Germany,9,0
9,22,0,India,1,0
17,35,1,India,4,0
9,97,0,India,1,0
11,30,0,India,8,0
16,73,0,India,13,0
10,56,0,India,15,0
20,63,0,India,15,0
9,80,0,India,14,0
20,25,0,India,6,0
9,41,0,India,12,0
11,30,0,India,8,0
13,17,0,India,5,0
10,56,0,India,8,0
15,85,0,Germany,2,0
10,206,1,Russia,71,1
10,111,0,India,14,0
17,24,0,Germany,18,0
9,119,0,India,16,0
11,79,0,India,19,0
12,55,0,India,8,0
13,59,0,India,13,0
9,97,1,India,18,0
14,94,0,Germany,14,0
14,110,0,India,9,0
15,110,0,India,6,0
15,76,0,Germany,6,0
13,98,1,China,72,1
12,342,0,Russia,25,1
11,47,0,India,11,0
11,16,0,India,17,0
15,101,0,India,16,0
20,53,0,India,4,0
14,64,0,India,12,0
15,83,1,India,1,0
10,110,0,India,8,0
14,84,0,Germany,18,0
17,49,0,India,4,0
2,326,1,Unknown,71,1
22,110,1,USA,35,1
12,16,1,India,16,0
14,76,0,India,13,0
14,35,0,India,9,0
10,92,1,India,14,0
16,11,0,India,3,0
14,42,0,Germany,18,0
17,19,0,India,15,0
4,434,1,Unknown,73,1
10,119,0,India,2,0
15,287,1,USA,48,1
20,13,0,India,15,0
12,114,0,India,7,0
9,20,0,India,10,0
12,50,0,India,6,0
14,113,0,Germany,12,0
10,46,0,India,13,0
9,78,1,India,7,0
21,137,0,China,85,1
10,100,0,Germany,8,0
1,65,1,USA,56,1
1,391,0,India,55,1
14,31,0,India,6,0
14,90,0,India,10,0
15,14,0,India,4,0
20,12,0,Germany,9,0
13,102,1,India,7,0
9,55,0,Germany,2,0
17,20,0,India,10,0
5,372,0,USA,94,1
13,98,0,India,16,0
14,7,0,Germany,2,0
17,67,0,India,19,0
17,69,0,India,2,0
20,52,1,India,1,0
16,88,0,Germany,3,0
14,28,0,Germany,6,0
15,85,0,Germany,15,0
15,26,0,India,14,0
9,117,0,India,13,0
10,16,0,India,2,0
10,24,0,India,11,0
17,27,0,India,18,0
10,62,0,Germany,18,0
14,30,0,India,1,0
11,90,0,India,6,0
15,41,0,India,9,0
16,117,0,India,9,0
11,37,0,Germany,2,0
13,101,0,Germany,15,0
11,109,0,India,18,0
9,48,0,India,15,0
9,83,0,India,18,0
15,60,0,Germany,2,0
20,9,0,India,1,0
6,202,1,India,84,1
9,92,0,India,15,0
16,59,1,Unknown,96,1
15,6,0,India,5,0
12,47,1,India,10,0
17,58,0,India,14,0
10,77,0,Germany,1,0
10,115,0,India,12,0
14,21,0,India,18,0
14,79,0,Germany,16,0
9,63,0,India,5,0
13,91,0,India,15,0
13,43,0,India,13,0
14,47,0,Germany,8,0
14,82,0,Germany,12,0
16,207,0,Russia,90,1
9,85,1,India,18,0
16,102,0,India,7,0
13,106,0,India,17,0
12,95,0,India,13,0
19,256,1,China,85,1
19,187,1,Russia,53,1
9,79,0,India,4,0
17,5,0,India,2,0
15,74,0,India,18,0
20,31,0,India,10,0
22,158,0,USA,32,1
17,49,0,India,1,0
17,92,1,Germany,18,0
15,79,0,Germany,12,0
10,92,0,India,9,0
17,95,0,India,3,0
11,88,0,India,2,0
14,74,0,Germany,14,0
15,67,0,India,10,0
13,104,0,Germany,15,0
14,21,1,Germany,11,0
20,55,0,Germany,16,0
7,83,1,India,36,1
16,85,0,Germany,1,0
17,5,0,Germany,11,0
15,84,0,Germany,15,0
9,431,1,Russia,77,1
6,445,0,Unknown,74,1
11,10,0,India,13,0
21,69,1,India,44,1
16,91,0,India,4,0
14,61,0,Germany,1,0
9,67,0,Germany,1,0
16,84,0,India,16,0
10,37,0,India,12,0
10,83,0,India,15,0
12,8,1,India,5,0
14,95,0,India,13,0
15,39,0,India,19,0
8,101,1,Russia,84,1
12,116,0,India,6,0
16,85,0,Germany,14,0
12,77,0,India,19,0
17,21,0,India,13,0
15,84,0,India,9,0
9,114,0,India,3,0
20,102,1,Germany,5,0
15,74,0,Germany,1,0
10,463,1,USA,94,1
16,58,0,India,15,0
10,75,0,Germany,12,0
14,66,0,India,18,0
10,105,0,India,2,0
20,91,0,Germany,15,0
4,459,1,China,44,1
17,21,0,Germany,15,0
20,167,1,Unknown,98,1
17,44,0,India,11,0
1,335,1,USA,79,1
10,66,0,India,2,0
13,101,0,Germany,12,0
16,50,0,Germany,15,0
14,26,0,India,7,0
16,84,0,India,2,0
10,73,0,Germany,10,0
14,99,0,India,4,0
9,105,0,India,19,0
10,74,0,Germany,2,0
11,29,0,India,19,0
15,35,0,India,6,0
15,44,0,India,15,0
10,16,0,Germany,17,0
14,81,0,India,7,0
16,5,0,India,1,0
20,15,0,Germany,4,0
9,96,0,India,12,0
16,73,0,India,11,0
4,154,0,USA,93,1
4,328,0,Russia,78,1
15,8,0,Germany,11,0
9,84,0,India,4,0
10,62,0,India,15,0
12,18,0,India,3,0
15,67,0,India,17,0
16,97,0,India,19,0
16,45,0,India,14,0
17,21,0,India,15,0
11,86,0,India,10,0
1,258,1,Russia,27,1
4,303,1,Russia,66,1
17,90,0,India,13,0
20,65,0,India,16,0
17,116,0,India,16,0
12,98,0,India,9,0
9,85,0,India,6,0
15,355,0,USA,72,1
16,30,0,Germany,5,0
15,33,0,Germany,2,0
9,78,0,India,7,0
11,105,0,India,14,0
16,51,0,India,18,0
9,80,0,India,10,0
9,15,0,India,17,0
21,225,1,USA,80,1
17,115,0,Germany,14,0
13,119,0,Germany,19,0
10,18,1,India,12,0
9,117,0,India,6,0
15,185,1,India,83,1
9,218,1,China,66,1
10,110,0,Germany,19,0
15,82,0,India,19,0
15,75,0,India,12,0
9,86,0,India,2,0
13,370,1,Unknown,70,1
20,55,0,India,18,0
14,36,0,India,17,0
17,27,1,India,5,0
10,70,0,India,18,0
13,65,0,Germany,3,0
10,79,0,India,13,0
12,108,0,Germany,10,0
11,77,0,India,5,0
20,46,0,India,7,0
9,106,0,India,8,0
10,61,0,India,13,0
17,82,0,India,7,0
15,23,0,India,14,0
16,46,0,India,3,0
10,111,0,India,16,0
20,106,0,Germany,19,0
13,5,0,India,15,0
14,78,0,India,15,0
15,338,1,USA,20,1
13,22,0,India,14,0
14,101,0,Germany,14,0
14,242,1,Unknown,73,1
17,81,0,India,10,0
14,61,0,India,15,0
20,11,0,India,14,0
14,52,0,India,3,0
17,65,0,India,19,0
12,103,0,India,18,0
12,97,0,India,19,0
11,56,0,India,14,0
12,67,0,Germany,7,0
12,70,0,Germany,6,0
15,32,0,India,5,0
10,102,0,India,19,0
14,14,0,India,3,0
14,49,0,India,1,0
9,465,1,Russia,20,1
15,37,0,India,3,0
17,76,0,India,16,0
12,24,0,India,12,0
10,52,0,Germany,6,0
15,116,0,India,2,0
11,33,0,Germany,12,0
20,107,0,Germany,6,0
12,88,0,India,7,0
20,100,0,India,12,0
16,38,0,Germany,14,0
9,64,0,Germany,4,0
16,79,0,India,2,0
14,78,0,India,11,0
10,14,0,India,8,0
9,40,0,India,17,0
16,50,0,Germany,8,0
15,33,0,Germany,15,0
10,36,0,Germany,12,0
15,61,0,India,5,0
11,207,1,India,29,1
17,101,0,India,9,0
11,41,0,India,12,0
14,93,0,India,8,0
10,59,0,India,13,0
14,108,0,India,8,0
16,102,0,India,16,0
9,55,0,Germany,19,0
16,179,1,Unknown,47,1
9,35,0,India,18,0
15,56,0,Germany,6,0
14,25,0,India,8,0
11,86,0,India,19,0
16,64,0,Germany,4,0
9,447,1,China,61,1
10,91,0,India,18,0
11,42,0,India,15,0
10,91,0,India,17,0
17,22,1,India,14,0
16,81,0,India,11,0
20,66,0,India,10,0
16,75,0,India,6,0
13,62,0,India,4,0
12,102,0,Germany,10,0
17,77,0,India,1,0
17,56,0,India,7,0
10,14,0,India,5,0
13,75,0,India,14,0
15,85,0,Germany,2,0
12,366,1,India,43,1
16,39,0,India,7,0
12,118,0,India,15,0
14,273,1,China,62,1
19,74,1,India,44,1
14,64,0,Germany,11,0
17,86,0,India,9,0
17,93,0,India,13,0
12,32,0,India,12,0
15,84,0,India,16,0
17,41,1,India,5,0
13,55,0,India,7,0
14,8,1,Germany,8,0
22,117,1,Russia,89,1
9,47,0,India,19,0
9,29,0,India,2,0
22,273,1,USA,44,1
9,11,0,India,9,0
13,68,0,India,5,0
20,76,0,India,16,0
15,46,1,India,12,0
17,77,0,India,2,0
16,102,0,India,19,0
16,55,1,India,14,0
16,76,0,India,14,0
11,71,0,India,16,0
14,42,0,India,15,0
11,29,0,India,9,0
12,37,0,Germany,5,0
20,104,0,Germany,2,0
15,93,0,Germany,16,0
15,51,0,India,15,0
8,338,1,India,96,1
13,245,1,India,36,1
16,95,0,India,5,0
12,69,0,Germany,18,0
14,388,1,USA,21,1
18,435,1,Unknown,80,1
17,17,0,India,4,0
20,16,1,India,19,0
15,95,0,India,16,0
12,49,1,Germany,6,0
11,10,1,Germany,5,0
13,79,0,Germany,17,0
17,72,0,India,1,0
21,111,0,Unknown,52,1
11,41,0,Germany,16,0
11,112,0,India,17,0
16,24,0,India,18,0
13,34,0,India,7,0
15,93,0,India,4,0
13,24,0,India,14,0
5,280,1,USA,95,1
10,80,0,India,8,0
17,19,0,India,16,0
12,29,0,India,5,0
9,14,1,Germany,8,0
17,362,1,Russia,45,1
15,29,0,India,13,0
20,85,0,India,19,0
10,80,0,Germany,1,0
10,98,1,Germany,7,0
10,58,0,India,4,0
14,22,0,India,18,0
20,118,0,India,17,0
13,11,0,Germany,16,0
14,64,0,India,7,0
17,103,0,Germany,14,0
13,107,0,Germany,5,0
13,41,0,India,2,0
16,49,0,India,1,0
10,41,0,Germany,3,0
15,96,0,Germany,9,0
9,14,1,India,8,0
17,42,0,India,1,0
10,15,0,India,8,0
13,10,0,Germany,2,0
13,109,0,India,2,0
20,94,0,India,11,0
14,97,0,India,11,0
20,65,0,India,6,0
16,109,0,India,12,0
11,85,0,Germany,4,0
6,188,1,Unknown,50,1
17,34,1,India,16,0
13,23,0,India,17,0
13,20,0,Germany,17,0
20,114,1,India,79,1
20,60,0,India,5,0
10,36,1,India,7,0
15,6,0,India,17,0
11,32,1,Germany,8,0
13,109,0,Germany,2,0
15,63,0,Germany,2,0
11,330,0,Russia,25,1
12,29,0,India,4,0
13,88,0,India,5,0
9,20,0,Germany,3,0
15,84,0,India,3,0
12,134,1,Russia,73,1
15,37,0,India,17,0
17,63,0,India,16,0
16,41,0,India,19,0
13,69,0,India,18,0
13,37,0,India,17,0
16,109,0,Germany,10,0
12,66,0,Germany,2,0
16,114,0,Germany,6,0
11,80,0,India,10,0
12,31,0,India,16,0
16,70,0,India,16,0
16,69,1,India,15,0
9,105,0,India,2,0
11,34,0,India,18,0
15,77,0,India,12,0
11,91,0,India,9,0
9,62,1,India,7,0
16,113,0,India,1,0
13,36,0,India,9,0
3,433,1,Russia,83,1
5,162,1,China,80,1
9,95,0,India,16,0
17,44,0,India,13,0
17,64,0,India,18,0
12,106,0,India,18,0
20,54,0,Germany,7,0
20,21,0,India,9,0
17,30,0,Germany,10,0
20,12,0,Germany,15,0
12,66,0,India,7,0
15,30,0,Germany,16,0
20,36,0,India,4,0
15,7,0,India,1,0
14,99,0,India,6,0
9,339,1,Russia,41,1
22,95,1,Unknown,80,1
20,47,0,India,12,0
12,105,0,Germany,4,0
15,113,0,India,5,0
14,272,1,China,52,1
11,38,1,India,6,0
20,52,0,Germany,7,0
20,21,0,India,7,0
3,326,0,China,43,1
21,453,0,Unknown,49,1
10,21,0,India,4,0
20,61,0,India,8,0
15,20,0,India,18,0
9,40,0,India,17,0
12,105,0,India,9,0
9,88,0,Germany,15,0
10,117,0,India,10,0
13,17,0,India,14,0
22,74,0,China,90,1
17,96,0,India,3,0
15,50,1,Germany,5,0
13,42,0,India,2,0
12,104,1,India,13,0
14,248,0,India,65,1
13,58,0,Germany,11,0
13,196,1,India,34,1
2,471,1,USA,63,1
15,6,0,India,7,0
